name,place_id,address,suburb,postcode,state,lat,lng,phone,website,google_maps_url,rating,user_ratings_total,price_level,opening_hours,types,opening_year,opening_month,first_review_date,independent_flag,pos_hint,notes
94 West,ChIJeYAqAunFsGoRlbnwRKDYraU,"227 Grange Rd, Findon SA 5023, Australia",Findon,5023,SA,-34.904901,138.5414127,(08) 8244 4492,http://www.94west.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJeYAqAunFsGoRlbnwRKDYraU,4.4,405.0,2.0,Monday: 6:45 AM – 3:00 PM | Tuesday: 6:45 AM – 3:00 PM | Wednesday: 6:45 AM – 3:00 PM | Thursday: 6:45 AM – 3:00 PM | Friday: 6:45 AM – 3:00 PM | Saturday: 7:00 AM – 2:30 PM | Sunday: 8:00 AM – 2:00 PM,"cafe, establishment, food, point_of_interest, restaurant, store",2023.0,1.0,2023-01-20 05:22:27,Unknown,Unknown,
Leaf Cafe & Co Golden Grove,ChIJ88uTNQCzsGoR56SNETvgR70,"Shop G023/Lot 1037 The Golden Way, Golden Grove SA 5125, Australia",Golden Grove,5125,SA,-34.7900579,138.6950352,0410 896 519,https://www.leafcafe.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJ88uTNQCzsGoR56SNETvgR70,4.5,114.0,2.0,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: 8:30 AM – 4:00 PM,"cafe, establishment, food, point_of_interest, store",2025.0,5.0,2025-05-18 04:49:54,Unknown,Unknown,
Elly Cafe,ChIJQ9hCWWnasGoRx-WGufox9t8,"297 Diagonal Rd, Oaklands Park SA 5046, Australia",Oaklands Park,5046,SA,-35.017125,138.542953,(08) 8298 6646,https://www.westfield.com.au/marion/store/1EjYKEFiMIoIiaUeUgU0wk/elly-caf,https://www.google.com/maps/place/?q=place_id:ChIJQ9hCWWnasGoRx-WGufox9t8,3.8,208.0,2.0,Monday: 7:00 AM – 5:30 PM | Tuesday: 7:00 AM – 5:30 PM | Wednesday: 7:00 AM – 5:30 PM | Thursday: 7:00 AM – 9:00 PM | Friday: 7:00 AM – 5:30 PM | Saturday: 7:00 AM – 5:00 PM | Sunday: 8:30 AM – 5:00 PM,"cafe, establishment, food, point_of_interest, restaurant, store",2025.0,5.0,2025-05-02 05:28:48,Unknown,Unknown,
Adelaide Coffee Bar,ChIJJ_ja6tbOsGoRpjnBUEPvdks,"73 Grenfell St, Adelaide SA 5000, Australia",Adelaide,5000,SA,-34.9244182,138.6024843,0422 833 117,http://adelaidecoffeebar.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJJ_ja6tbOsGoRpjnBUEPvdks,4.7,114.0,2.0,Monday: 7:30 AM – 3:00 PM | Tuesday: 7:30 AM – 3:00 PM | Wednesday: 7:30 AM – 3:00 PM | Thursday: 7:30 AM – 3:00 PM | Friday: 7:30 AM – 3:00 PM | Saturday: Closed | Sunday: Closed,"cafe, establishment, food, point_of_interest",2024.0,7.0,2024-07-25 04:14:19,Unknown,Unknown,
PAID 4 U CAFE,ChIJB7yWOjW1sGoRoORGAeDPyvQ,"120 Maxwell Rd, Ingle Farm SA 5098, Australia",Ingle Farm,5098,SA,-34.8159227,138.6423266,0468 359 145,https://themustardseedfamily.org.au/,https://www.google.com/maps/place/?q=place_id:ChIJB7yWOjW1sGoRoORGAeDPyvQ,4.9,18.0,,,"cafe, establishment, food, point_of_interest",2021.0,8.0,2021-08-20 01:20:50,Unknown,Unknown,
A Cafe Etc.,ChIJmUJXUszbsGoReC1P3mmouuk,"1/71 Jetty Rd, Brighton SA 5048, Australia",Brighton,5048,SA,-35.0173939,138.5157669,82941035,,https://www.google.com/maps/place/?q=place_id:ChIJmUJXUszbsGoReC1P3mmouuk,3.7,350.0,2.0,Monday: 8:00 AM – 2:00 PM | Tuesday: 8:00 AM – 2:00 PM | Wednesday: 8:00 AM – 2:30 PM | Thursday: 8:00 AM – 2:30 PM | Friday: 8:00 AM – 2:30 PM | Saturday: 8:00 AM – 2:30 PM | Sunday: 8:00 AM – 2:30 PM,"cafe, establishment, food, point_of_interest, restaurant, store",2025.0,4.0,2025-04-20 21:31:01,Unknown,Unknown,
Ikigai Coffee Shop,ChIJT0ZjrY7JsGoRSKgDFaX4SMk,"191-193 Hampstead Rd, Lightsview SA 5085, Australia",Lightsview,5085,SA,-34.86457660000001,138.6187793,0455 440 328,https://www.allurerestaurants.com/,https://www.google.com/maps/place/?q=place_id:ChIJT0ZjrY7JsGoRSKgDFaX4SMk,4.5,407.0,2.0,Monday: 6:00 AM – 4:00 PM | Tuesday: 7:00 AM – 4:00 PM | Wednesday: 6:00 AM – 4:00 PM | Thursday: 7:00 AM – 4:00 PM | Friday: 6:00 AM – 4:00 PM | Saturday: 7:30 AM – 4:00 PM | Sunday: 8:00 AM – 4:00 PM,"cafe, establishment, food, point_of_interest, restaurant, store",2025.0,7.0,2025-07-13 03:29:43,Unknown,Unknown,
Vero caffe,ChIJ_R6qcwDbsGoR4haVShJIC6w,"1/95 Partridge St, Glenelg SA 5045, Australia",Glenelg,5045,SA,-34.9896454,138.5181896,0407 744 110,https://everocaffe.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJ_R6qcwDbsGoR4haVShJIC6w,5.0,10.0,,Monday: 7:00 AM – 2:00 PM | Tuesday: 7:00 AM – 2:00 PM | Wednesday: 7:00 AM – 2:00 PM | Thursday: 7:00 AM – 2:00 PM | Friday: 7:00 AM – 2:00 PM | Saturday: 7:30 AM – 12:00 PM | Sunday: Closed,"cafe, establishment, food, point_of_interest, store",2025.0,8.0,2025-08-16 03:19:00,Unknown,Unknown,
Cheeky Grin Coffee,ChIJcWLa_WLLsGoRdF-k7Ejt60I,"74a Gage St, Firle SA 5070, Australia",Firle,5070,SA,-34.90783510000001,138.6510523,0401 911 971,http://cheekygrin.coffee/,https://www.google.com/maps/place/?q=place_id:ChIJcWLa_WLLsGoRdF-k7Ejt60I,4.7,214.0,,Monday: 7:00 AM – 2:00 PM | Tuesday: 7:00 AM – 2:00 PM | Wednesday: 7:00 AM – 2:00 PM | Thursday: 7:00 AM – 2:00 PM | Friday: 7:00 AM – 2:00 PM | Saturday: 7:00 AM – 2:00 PM | Sunday: 7:30 AM – 1:00 PM,"cafe, establishment, food, point_of_interest, store",2021.0,2.0,2021-02-04 09:08:54,Unknown,Unknown,
Mad.Good Cafe,ChIJyytU2o7OsGoRlLrm4c-SxfA,"3/435 Fullarton Rd, Highgate SA 5063, Australia",Highgate,5063,SA,-34.9595832,138.6258995,(08) 8271 8225,https://www.madgoodcafe.com/,https://www.google.com/maps/place/?q=place_id:ChIJyytU2o7OsGoRlLrm4c-SxfA,4.8,595.0,2.0,Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 8:00 AM – 3:00 PM,"cafe, establishment, food, point_of_interest, restaurant, store",2025.0,10.0,2025-10-28 11:03:22,Unknown,Unknown,
